based_on,original_hg38_from_hg19,from_cram,v2,v3,v4,v5,v6,v7,v8,v9
original_hg38_from_hg19,NA,4936,7128,6835,4952,7132,7124,4941,4689,4844
from_cram,4269,NA,2720,3219,80,2721,2711,76,1046,1143
v2,4698,957,NA,1009,968,29,25,986,1508,1635
v3,4482,1533,1086,NA,1536,1086,1072,1536,980,1445
v4,4264,59,2710,3201,NA,2714,2705,67,1029,1132
v5,4693,949,20,1000,963,NA,22,980,1501,1628
v6,4711,965,42,1012,980,48,NA,1000,1513,1636
v7,4242,44,2717,3190,56,2720,2714,NA,1015,1120
v8,3984,1008,3233,2628,1012,3235,3221,1009,NA,887
v9,4140,1106,3361,3094,1116,3363,3345,1115,888,NA
